,eurogrid_0250_1,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,eurogrid_0250_2,krs_razem,krs_spolki,ceidg_razem,ceidg_aktywne,ceidg_nieaktywne,ceidg_aktywne_pkd_a,ceidg_aktywne_pkd_b,ceidg_aktywne_pkd_c,ceidg_aktywne_pkd_d,ceidg_aktywne_pkd_e,ceidg_aktywne_pkd_f,ceidg_aktywne_pkd_g,ceidg_aktywne_pkd_h,ceidg_aktywne_pkd_i,ceidg_aktywne_pkd_j,ceidg_aktywne_pkd_k,ceidg_aktywne_pkd_l,ceidg_aktywne_pkd_m,ceidg_aktywne_pkd_n,ceidg_aktywne_pkd_o,ceidg_aktywne_pkd_p,ceidg_aktywne_pkd_q,ceidg_aktywne_pkd_r,ceidg_aktywne_pkd_s,ceidg_aktywne_pkd_t,ceidg_aktywne_pkd_u,ceidg_aktywne_rok_zal_2016,ceidg_aktywne_rok_zal_2015,ceidg_aktywne_rok_zal_2014,ceidg_aktywne_rok_zal_2013,ceidg_aktywne_rok_zal_2012,ceidg_aktywne_rok_zal_2011,ceidg_aktywne_rok_zal_2010,ceidg_aktywne_rok_zal_2009,ceidg_aktywne_rok_zal_2008,ceidg_aktywne_rok_zal_2007,ceidg_aktywne_rok_zal_2006,ceidg_aktywne_rok_zal_2005,ceidg_aktywne_rok_zal_2004,ceidg_aktywne_rok_zal_2003,ceidg_aktywne_rok_zal_2002,ceidg_aktywne_rok_zal_2001,ceidg_aktywne_rok_zal_2000,ceidg_aktywne_rok_zal_1999,eurogrid_0250_3,dochod_bud_pra,eurogrid_0250_4,kod_pocztowy,nazwa_miejsc,kod_miejsc,nazwa_cz_miejsc,kod_cz_miejsc,kod_gminy,kod_gminy_distr,nazwa_woj,nazwa_pow,nazwa_gmi,segment_gminy,populacja_razem_agr,populacja_lokale_agr,Dzieci_agr,Niepelnoletni_agr,Dorosli_agr,Emeryci_agr,populacja_k_razem_agr,populacja_m_razem_agr,msw_2012_popul_razem_agr,msw_2013_popul_razem_agr,msw_2014_popul_razem_agr,msw_2015_popul_razem_agr,msw_2016_popul_razem_agr,budynki_mieszkalne_agr,budynki_all_agr,ceidg_aktywne_agr,dochod_bud_pra_agr,dochod_pop_agr,grid_x,Bank_agr,Bankomat_agr,Centra Handlowe_agr,Fast Food_agr,Hazard_agr,Hotel_agr,Kociół_agr,Przedszkola i punkty przedszkolne_agr,Przystanek autobusowy_agr,Przystanek tramwajowy_agr,Restauracja_agr,Rozrywka Inne_agr,Rozrywka Sport_agr,Sklep_agr,Szkoły podstawowe_agr,Usługi Medyczne_agr,Warsztat samochodowy_agr,Wypożyczalnia Rowerów_agr,Zakład Karny_agr,grid_y,Bank,Bankomat,Centra Handlowe,Fast Food,Hazard,Hotel,Kociół,Przedszkola i punkty przedszkolne,Przystanek autobusowy,Przystanek tramwajowy,Restauracja,Rozrywka Inne,Rozrywka Sport,Sklep,Szkoły podstawowe,Usługi Medyczne,Warsztat samochodowy,Wypożyczalnia Rowerów,Zakład Karny,grid,eurogrid_0250,dist,populacja_razem_suma,populacja_lokale_suma,populacja_k_razem_suma,populacja_m_razem_suma,msw_2012_popul_razem_suma,msw_2013_popul_razem_suma,msw_2014_popul_razem_suma,msw_2015_popul_razem_suma,msw_2016_popul_razem_suma,budynki_all_suma,budynki_mieszkalne_suma,ceidg_aktywne_suma,dochod_bud_pra_suma,Bank_suma,Bankomat_suma,Centra Handlowe_suma,Fast Food_suma,Hazard_suma,Hotel_suma,Kociół_suma,Przedszkola i punkty przedszkolne_suma,Przystanek autobusowy_suma,Przystanek tramwajowy_suma,Restauracja_suma,Rozrywka Inne_suma,Rozrywka Sport_suma,Sklep_suma,Szkoły podstawowe_suma,Usługi Medyczne_suma,Warsztat samochodowy_suma,Wypożyczalnia Rowerów_suma,Zakład Karny_suma,przystanki,stosunek_dzieci
1374,1kmN3038E5033_22,622,285,347,275,27,25,17,15,33,31,40,35,43,54,46,30,25,38,48,115,277,274,272,278,280,651,636,634,633,625,19,9,1kmN3038E5033_22,13,11,100,55,39,0,0,8,0,1,1,20,5,0,2,2,0,3,1,0,2,1,0,7,0,0,1,7,4,2,1,1,2,1,0,2,0,2,1,0,1,3,0,27,1kmN3038E5033_22,5053,1kmN3038E5033_22,30-682,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,4976,2280,416,256,2696,1608,2776,2200,5208,5088,5072,5064,5000,72,152,440,40424,25143728,1kmN3038E5033_22,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,15.0,1.0,1.0,0.0,1kmN3038E5033_22,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_22,1kmN3038E5033_22,5842.914140796374,5598,2565,3123,2475,5859,5724,5706,5697,5625,171,81,495,45477,3.0,5.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,15.0,1.0,1.0,0.0,4.0,0.1543026706231454
1375,1kmN3038E5033_23,1161,513,668,493,29,37,31,47,80,63,67,65,81,105,84,60,55,61,84,212,494,489,481,492,497,1220,1187,1159,1154,1147,28,18,1kmN3038E5033_23,4,3,104,49,49,0,0,4,0,0,9,15,7,0,1,2,1,3,2,0,1,2,1,1,0,0,2,2,8,2,3,2,1,1,2,0,1,3,1,1,0,0,2,18,1kmN3038E5033_23,4949,1kmN3038E5033_23,30-629,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,9288,4104,528,624,5280,2856,5344,3944,9760,9496,9272,9232,9176,144,224,392,39592,45966312,1kmN3038E5033_23,3.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,1kmN3038E5033_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1kmN3038E5033_23,1kmN3038E5033_23,5684.060121685101,10449,4617,6012,4437,10980,10683,10431,10386,10323,252,162,441,44541,3.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0,2.0,1.0,1.0,0.0,4.0,0.1
1376,1kmN3038E5033_24,1092,479,613,479,41,38,35,40,50,92,79,57,85,82,59,45,53,60,80,196,465,453,446,451,455,1148,1117,1094,1084,1053,25,19,1kmN3038E5033_24,3,1,90,43,44,1,0,4,0,0,3,11,2,1,1,4,0,5,1,0,0,6,0,4,0,0,5,2,2,2,3,6,0,0,2,2,3,1,2,0,0,1,1,11,1kmN3038E5033_24,4938,1kmN3038E5033_24,30-683,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,8736,3832,632,600,4816,2688,4904,3832,9184,8936,8752,8672,8424,152,200,344,39504,43138368,1kmN3038E5033_24,2.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,5.0,2.0,0.0,1.0,5.0,1.0,4.0,1.0,2.0,0.0,1kmN3038E5033_24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_24,1kmN3038E5033_24,5487.26674291059,9828,4311,5517,4311,10332,10053,9846,9756,9477,225,171,387,44442,2.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,5.0,2.0,0.0,1.0,6.0,1.0,4.0,1.0,2.0,0.0,11.0,0.13122923588039867
1377,1kmN3038E5033_31,783,305,398,385,49,47,26,29,25,31,93,76,61,22,67,45,51,77,38,46,258,268,270,276,283,728,748,755,754,747,50,38,1kmN3038E5033_31,7,5,94,52,36,1,0,7,0,0,0,6,6,2,5,1,0,7,2,0,1,9,0,5,0,0,0,4,1,2,4,6,2,5,1,2,2,3,4,0,1,0,2,13,1kmN3038E5033_31,5022,1kmN3038E5033_31,30-629,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,6264,2440,768,440,3768,1288,3184,3080,5824,5984,6040,6032,5976,304,400,416,40176,31457808,1kmN3038E5033_31,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,1kmN3038E5033_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_31,1kmN3038E5033_31,5329.820108777321,7047,2745,3582,3465,6552,6732,6795,6786,6723,450,342,468,45198,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,8.0,0.20382165605095542
1378,1kmN3038E5033_32,970,365,522,448,66,64,35,35,28,52,107,115,68,38,32,37,103,93,27,70,337,340,339,351,356,954,957,955,970,968,24,17,1kmN3038E5033_32,5,5,119,64,51,1,0,5,0,1,7,10,8,1,3,2,0,10,2,0,2,4,1,6,0,0,0,8,6,3,2,4,4,2,3,2,2,1,4,1,0,2,3,17,1kmN3038E5033_32,4938,1kmN3038E5033_32,30-638,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,7760,2920,1040,560,4640,1520,4176,3584,7632,7656,7640,7760,7744,136,192,512,39504,38318880,1kmN3038E5033_32,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1kmN3038E5033_32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1kmN3038E5033_32,1kmN3038E5033_32,5532.203795216688,8730,3285,4698,4032,8586,8613,8595,8730,8712,216,153,576,44442,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,4.0,0.22413793103448276
1379,1kmN3038E5033_33,761,355,366,395,61,49,18,26,12,36,123,96,42,20,17,16,129,44,35,37,261,281,287,307,319,623,669,677,704,702,13,8,1kmN3038E5033_33,4,2,102,57,42,0,0,4,0,0,6,9,5,1,6,4,0,7,1,0,1,10,2,0,0,0,2,10,5,7,3,3,4,5,2,2,0,2,2,1,2,0,1,6,1kmN3038E5033_33,5370,1kmN3038E5033_33,30-638,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,6088,2840,880,352,3928,928,2928,3160,4984,5352,5416,5632,5616,64,104,456,42960,32692560,1kmN3038E5033_33,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1kmN3038E5033_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1kmN3038E5033_33,1kmN3038E5033_33,5387.936862260136,6849,3195,3294,3555,5607,6021,6093,6336,6318,117,72,513,48330,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2240325865580448
1380,1kmN3038E5033_34,1231,433,645,586,60,64,45,50,48,56,104,132,112,52,45,48,135,129,73,78,421,414,414,416,427,1334,1289,1249,1252,1237,21,7,1kmN3038E5033_34,3,3,111,55,53,0,0,7,0,0,8,10,11,0,1,4,0,7,2,0,1,3,0,1,0,0,3,8,1,2,5,4,2,2,1,1,2,1,2,1,1,1,2,16,1kmN3038E5033_34,4849,1kmN3038E5033_34,30-638,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,9848,3464,992,760,5856,2240,5160,4688,10672,10312,9992,10016,9896,56,168,440,38792,47752952,1kmN3038E5033_34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1kmN3038E5033_34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1kmN3038E5033_34,1kmN3038E5033_34,5179.933842403048,11079,3897,5805,5274,12006,11601,11241,11268,11133,189,63,495,43641,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.16939890710382513
1381,1kmN3038E5033_41,58,27,31,27,3,1,1,1,1,3,9,4,2,1,2,8,9,6,2,5,25,26,25,28,27,61,59,55,62,58,9,4,1kmN3038E5033_41,1,0,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1kmN3038E5033_41,4887,1kmN3038E5033_41,30-563,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,464,216,32,16,312,104,248,216,488,472,440,496,464,32,72,16,39096,2267568,1kmN3038E5033_41,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1kmN3038E5033_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_41,1kmN3038E5033_41,4938.783978700485,522,243,279,243,549,531,495,558,522,81,36,18,43983,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,11.0,0.10256410256410256
1382,1kmN3038E5033_42,398,147,222,176,16,22,13,13,16,36,49,34,22,18,16,26,40,35,14,28,132,138,137,137,139,381,393,391,384,383,37,33,1kmN3038E5033_42,4,4,55,34,19,0,0,3,0,0,2,7,1,0,5,1,1,5,1,0,0,8,0,0,0,0,1,7,4,4,2,2,1,0,1,1,0,0,1,0,0,1,0,9,1kmN3038E5033_42,5012,1kmN3038E5033_42,30-645,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,3184,1176,304,208,2056,616,1776,1408,3048,3144,3128,3072,3064,264,296,272,40096,15958208,1kmN3038E5033_42,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1kmN3038E5033_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3038E5033_42,5131.837015114325,3582,1323,1998,1584,3429,3537,3519,3456,3447,333,297,306,45108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14785992217898833
1383,1kmN3038E5033_43,127,48,63,64,5,6,4,7,8,6,8,9,13,4,5,13,9,13,8,9,41,41,41,42,44,128,125,127,119,119,65,41,1kmN3038E5033_43,5,5,19,10,5,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,1kmN3038E5033_43,5570,1kmN3038E5033_43,30-627,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,1016,384,88,88,600,240,504,512,1024,1000,1016,952,952,328,520,80,44560,5659120,1kmN3038E5033_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1kmN3038E5033_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_43,1kmN3038E5033_43,4976.005501130802,1143,432,567,576,1152,1125,1143,1071,1071,585,369,90,50130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.14666666666666667
1384,1kmN3038E5033_44,150,63,85,65,9,6,5,7,11,7,16,10,12,2,5,15,18,9,7,11,56,57,58,61,62,148,148,149,151,148,41,29,1kmN3038E5033_44,5,5,44,29,15,0,0,6,1,0,3,6,2,2,1,1,0,4,1,0,1,1,0,0,0,0,1,2,2,0,1,0,2,2,0,2,1,0,3,1,1,2,2,7,1kmN3038E5033_44,5182,1kmN3038E5033_44,30-629,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,1200,504,120,96,768,216,680,520,1184,1184,1192,1208,1184,232,328,232,41456,6218400,1kmN3038E5033_44,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5033_44,1kmN3038E5033_44,4776.673960168174,1350,567,765,585,1332,1332,1341,1359,1332,369,261,261,46638,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.15625
1385,1kmN3038E5034_11,1004,416,533,471,38,46,25,40,50,68,114,90,93,56,40,57,83,106,38,60,394,394,398,398,401,1031,1025,1014,995,980,71,46,1kmN3038E5034_11,8,7,136,73,59,0,0,15,0,1,7,18,4,4,2,0,2,6,3,0,1,7,0,3,0,0,3,5,5,2,6,3,3,4,10,0,2,3,0,1,2,1,0,23,1kmN3038E5034_11,5007,1kmN3038E5034_11,30-826,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,8032,3328,672,520,5208,1632,4264,3768,8248,8200,8112,7960,7840,368,568,584,40056,40216224,1kmN3038E5034_11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1kmN3038E5034_11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5034_11,1kmN3038E5034_11,6043.693246821495,9036,3744,4797,4239,9279,9225,9126,8955,8820,639,414,657,45063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,3.0,0.12903225806451613
1386,1kmN3038E5034_12,1129,454,632,497,75,58,54,46,62,93,150,111,91,57,39,51,57,89,35,61,316,323,352,416,443,874,890,944,1070,1110,49,37,1kmN3038E5034_12,14,7,121,72,45,0,0,7,0,0,4,12,5,1,6,4,1,13,1,0,4,10,2,2,0,0,0,8,4,8,3,3,4,7,6,3,2,1,1,1,1,1,3,16,1kmN3038E5034_12,4901,1kmN3038E5034_12,30-816,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,9032,3632,1064,800,5688,1480,5056,3976,6992,7120,7552,8560,8880,296,392,576,39208,44265832,1kmN3038E5034_12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1kmN3038E5034_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1kmN3038E5034_12,1kmN3038E5034_12,6202.520561720873,10161,4086,5688,4473,7866,8010,8496,9630,9990,441,333,648,44109,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,0.18706047819971872
1387,1kmN3038E5034_13,784,309,430,354,37,31,30,38,25,31,65,71,59,43,40,47,47,74,43,103,296,297,293,293,306,798,800,784,783,781,85,75,1kmN3038E5034_13,9,8,90,56,31,1,0,5,0,0,6,9,5,0,2,2,2,14,1,0,2,4,0,3,0,0,0,4,7,6,4,3,2,2,0,3,4,0,1,0,2,2,2,14,1kmN3038E5034_13,4982,1kmN3038E5034_13,30-819,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,6272,2472,544,544,3424,1760,3440,2832,6384,6400,6272,6264,6248,600,680,448,39856,31247104,1kmN3038E5034_13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1kmN3038E5034_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1kmN3038E5034_13,1kmN3038E5034_13,6010.745220191197,7056,2781,3870,3186,7182,7200,7056,7047,7029,765,675,504,44838,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,6.0,0.1588785046728972
1388,1kmN3038E5034_14,659,350,319,340,15,19,7,43,139,29,39,34,23,23,25,27,37,42,43,114,288,284,278,278,273,530,525,511,514,504,71,62,1kmN3038E5034_14,11,9,61,35,24,0,0,5,0,0,7,7,3,0,0,1,3,1,1,0,1,1,0,5,0,0,2,6,4,1,1,1,1,0,1,3,0,0,0,0,0,3,1,11,1kmN3038E5034_14,4946,1kmN3038E5034_14,30-815,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,5272,2800,272,400,3008,1592,2552,2720,4240,4200,4088,4112,4032,496,568,280,39568,26075312,1kmN3038E5034_14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1kmN3038E5034_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3038E5034_14,5846.722840679286,5931,3150,2871,3060,4770,4725,4599,4626,4536,639,558,315,44514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09042553191489362
1389,1kmN3038E5034_21,29,15,13,16,2,0,0,1,0,2,3,0,2,2,0,4,6,3,0,4,14,14,14,15,15,31,31,30,30,29,4,4,1kmN3038E5034_21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1kmN3038E5034_21,4958,1kmN3038E5034_21,30-808,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,232,120,16,8,152,56,104,128,248,248,240,240,232,32,32,0,39664,1150256,1kmN3038E5034_21,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1kmN3038E5034_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1kmN3038E5034_21,6367.366968549419,261,135,117,144,279,279,270,270,261,36,36,0,44622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
1390,1kmN3038E5034_22,36,11,15,21,1,2,3,3,3,4,0,1,5,5,3,0,1,3,0,2,10,10,10,10,11,37,38,38,37,36,32,9,1kmN3038E5034_22,3,2,21,11,7,0,0,1,0,1,1,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1kmN3038E5034_22,4962,1kmN3038E5034_22,30-663,KRAKÓW,950463,KRAKÓW-PODGÓRZE,950960,1261011,1261049,MAŁOPOLSKIE,KRAKÓW,KRAKÓW-PODGÓRZE,A1,288,88,24,48,176,40,120,168,296,304,304,296,288,72,256,88,39696,1429056,1kmN3038E5034_22,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1kmN3038E5034_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1kmN3038E5034_22,1kmN3038E5034_22,6537.77701973966,324,99,135,189,333,342,342,333,324,288,81,99,44658,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.13636363636363635
